Municipio;Bairro;M+B;Lat;Long
SERRA;PARQUE DAS GAIVOTAS;PARQUE DAS GAIVOTAS - SERRA - ES - Brasil;;
VILA VELHA;JARDIM MARILÂNDIA;JARDIM MARILÂNDIA - VILA VELHA - ES - Brasil;;
VILA VELHA;VALE ENCANTADO;VALE ENCANTADO - VILA VELHA - ES - Brasil;;
VITORIA;SANTA HELENA;SANTA HELENA - VITORIA - ES - Brasil;;
VITORIA;SÃO JOSÉ;SÃO JOSÉ - VITORIA - ES - Brasil;;
SERRA;BAIRRO DAS LARANJEIRAS;BAIRRO DAS LARANJEIRAS - SERRA - ES - Brasil;;
VILA VELHA;CIDADE DA BARRA;CIDADE DA BARRA - VILA VELHA - ES - Brasil;;
AFONSO CLAUDIO;GRAMA;GRAMA - AFONSO CLAUDIO - ES - Brasil;;
APIACA;APIACÁ;APIACÁ - APIACA - ES - Brasil;;
CARIACICA;CARIACICA SEDE;CARIACICA SEDE - CARIACICA - ES - Brasil;;
DOMINGOS MARTINS;PEDRA AZUL;PEDRA AZUL - DOMINGOS MARTINS - ES - Brasil;;
VIANA;CABRAL;CABRAL - VIANA - ES - Brasil;;
VILA VELHA;ARAÇÁS;ARAÇÁS - VILA VELHA - ES - Brasil;;
SERRA;CARAPINA GRANDE;CARAPINA GRANDE - SERRA - ES - Brasil;;
SERRA;PLANALTO SERRANO;PLANALTO SERRANO - SERRA - ES - Brasil;;
NOVA VENECIA;SÃO CRISTOVÃO;SÃO CRISTOVÃO - NOVA VENECIA - ES - Brasil;;
FUNDAO;Não Encontrado;Não Encontrado - FUNDAO - ES - Brasil;;
VILA VELHA;ARIBIRÍ;ARIBIRÍ - VILA VELHA - ES - Brasil;;
LINHARES;INTERLAGOS;INTERLAGOS - LINHARES - ES - Brasil;;
PEDRO CANARIO;CENTRO;CENTRO - PEDRO CANARIO - ES - Brasil;;
SERRA;JARDIM CARAPINA;JARDIM CARAPINA - SERRA - ES - Brasil;;
CARIACICA;SÃO GERALDO;SÃO GERALDO - CARIACICA - ES - Brasil;;
SERRA;CIDADE POMAR;CIDADE POMAR - SERRA - ES - Brasil;;
SOORETAMA;Não Encontrado;Não Encontrado - SOORETAMA - ES - Brasil;;
VENDA NOVA DO IMIGRANTE;CACHOEIRA ALEGRE;CACHOEIRA ALEGRE - VENDA NOVA DO IMIGRANTE - ES - Brasil;;
CARIACICA;NOVA CANAÃ;NOVA CANAÃ - CARIACICA - ES - Brasil;;
CARIACICA;CASTELO BRANCO;CASTELO BRANCO - CARIACICA - ES - Brasil;;
COLATINA;AEROPORTO;AEROPORTO - COLATINA - ES - Brasil;;
COLATINA;NOSSA SENHORA APARECIDA;NOSSA SENHORA APARECIDA - COLATINA - ES - Brasil;;
GUACUI;Não Encontrado;Não Encontrado - GUACUI - ES - Brasil;;
PRESIDENTE KENNEDY;CAMPO NOVO I;CAMPO NOVO I - PRESIDENTE KENNEDY - ES - Brasil;;
PRESIDENTE KENNEDY;JAQUEIRA;JAQUEIRA - PRESIDENTE KENNEDY - ES - Brasil;;
SANTA MARIA DE JETIBA;CENTRO;CENTRO - SANTA MARIA DE JETIBA - ES - Brasil;;
SAO GABRIEL DA PALHA;CENTRO;CENTRO - SAO GABRIEL DA PALHA - ES - Brasil;;
SAO JOSE DO CALCADO;CENTRO;CENTRO - SAO JOSE DO CALCADO - ES - Brasil;;
SANTA TERESA;ALTO SANTO ANTONIO;ALTO SANTO ANTONIO - SANTA TERESA - ES - Brasil;;
LINHARES;CÓRREGO JAPIRA;CÓRREGO JAPIRA - LINHARES - ES - Brasil;;
